benchmark,analysis,tool,class,TP,FP,FN,TN,Total,sensitivity,specificity,precision,accuracy,f1
GPS benchmark,serogroup_exact,ALLCAPS,38,60,1,1,3781,61,0.9836065573770492,0.9997355896351137,0.9836065573770492,0.9994795732500651,0.9836065573770492
GPS benchmark,serogroup_exact,ALLCAPS,39,0,0,1,3842,1,0,1,0,0.9997397866250325,0
GPS benchmark,serogroup_exact,ALLCAPS,4,94,6,2,3741,96,0.9791666666666666,0.9983987189751802,0.94,0.9979182930002602,0.9591836734693877
GPS benchmark,serogroup_exact,ALLCAPS,40,0,1,1,3841,1,0,0.9997397188964081,0,0.9994795732500651,0
GPS benchmark,serogroup_exact,ALLCAPS,45,3,0,0,3840,3,1,1,1,1,1
GPS benchmark,serogroup_exact,ALLCAPS,46,8,2,1,3832,9,0.8888888888888888,0.9994783515910276,0.8,0.9992193598750976,0.8421052631578948
GPS benchmark,serogroup_exact,ALLCAPS,48,1,0,1,3841,2,0.5,1,1,0.9997397866250325,0.6666666666666666
GPS benchmark,serogroup_exact,ALLCAPS,5,124,1,0,3718,124,1,0.9997311105135789,0.992,0.9997397866250325,0.9959839357429718
GPS benchmark,serogroup_exact,ALLCAPS,6,267,20,21,3535,288,0.9270833333333334,0.9943741209563994,0.9303135888501742,0.9893312516263336,0.9286956521739131
GPS benchmark,serogroup_exact,ALLCAPS,7,126,3,5,3709,131,0.9618320610687023,0.9991918103448276,0.9767441860465116,0.9979182930002602,0.9692307692307692
GPS benchmark,serogroup_exact,ALLCAPS,8,447,4,3,3389,450,0.9933333333333333,0.9988211022693781,0.991130820399113,0.9981785063752276,0.9922308546059933
GPS benchmark,serogroup_exact,ALLCAPS,9,199,13,9,3622,208,0.9567307692307693,0.9964236588720771,0.9386792452830188,0.9942753057507155,0.9476190476190477
GPS benchmark,serogroup_exact,ProkBERT,1,218,7,12,3606,230,0.9478260869565217,0.9980625518959314,0.9688888888888889,0.995055945875618,0.9582417582417583
GPS benchmark,serogroup_exact,ProkBERT,10,138,77,9,3619,147,0.9387755102040817,0.9791666666666666,0.641860465116279,0.9776216497527973,0.7624309392265193
GPS benchmark,serogroup_exact,ProkBERT,11,44,40,11,3748,55,0.8,0.989440337909187,0.5238095238095238,0.9867291178766588,0.6330935251798562
GPS benchmark,serogroup_exact,ProkBERT,12,231,17,33,3562,264,0.875,0.9952500698519139,0.9314516129032258,0.9869893312516264,0.90234375
GPS benchmark,serogroup_exact,ProkBERT,13,36,2,4,3801,40,0.9,0.9994740993952143,0.9473684210526315,0.9984387197501952,0.9230769230769231
