fold,fold_safe_name,genogroup,n_id,n_novel,k,auroc,bal_acc,bal_acc_threshold
17F,17F,17F,53433,50,50,0.9671697265734658,0.9495442891097262,0.25148361921310425
17F,17F,17F,53433,50,100,0.9544839331499262,0.9478537607845339,0.3381003737449646
17F,17F,17F,53433,50,200,0.956238279714783,0.9461039058259877,0.36714673042297363
17F,17F,17F,53433,50,500,0.9487825875395355,0.9203988172103381,0.39500659704208374
17F,17F,17F,53433,50,1000,0.862720041921659,0.8567243089476542,0.6011949777603149
18A,18A,18,54007,19,1,0.9777270587730832,0.9769381746810599,0.02647644281387329
18A,18A,18,54007,19,5,0.9549951127193064,0.9558760901364638,0.044685184955596924
18A,18A,18,54007,19,10,0.9407474469683753,0.9449886125872572,0.0603983998298645
18A,18A,18,54007,19,20,0.9250564985240705,0.9329716518229119,0.08225810527801514
18A,18A,18,54007,19,50,0.903269849035164,0.9016053474549596,0.08363056182861328
18A,18A,18,54007,19,100,0.8691768026172045,0.8642213046456941,0.09368234872817993
18A,18A,18,54007,19,200,0.8367774937556827,0.8161534615883126,0.10672974586486816
18A,18A,18,54007,19,500,0.8114883743140509,0.8084838904898293,0.30159616470336914
18A,18A,18,54007,19,1000,0.6858565117777129,0.74277944476983,0.374051570892334
18B,18B,18,54084,13,1,0.8686288565365556,0.901039977698509,0.00042939186096191406
18B,18B,18,54084,13,5,0.8475782685622932,0.879493010871977,0.00047320127487182617
18B,18B,18,54084,13,10,0.7998007373146045,0.8479125064714148,0.0005772709846496582
18B,18B,18,54084,13,20,0.7722275321010622,0.8382885881221803,0.0027641654014587402
18B,18B,18,54084,13,50,0.7103209821758746,0.7921751349752237,0.004245102405548096
18B,18B,18,54084,13,100,0.6507619202038994,0.7428814436802011,0.0048828125
18B,18B,18,54084,13,200,0.6762486274911391,0.7697932845203757,0.04672366380691528
18B,18B,18,54084,13,500,0.8821171340308239,0.9298128836624511,0.3804558515548706
18B,18B,18,54084,13,1000,0.9522196241743612,0.9171260660055868,0.691315770149231
18C,18C,18,53514,43,1,0.9613769837234507,0.9476537763210844,0.0036933422088623047
18C,18C,18,53514,43,5,0.9593612104113596,0.940347277087239,0.03352934122085571
